Original - codPostal,Original - nomeRegiao,Original - agrupamento,Original - nomeAgrupamento,Original - email,Original - latitude,Original - longitude,Original - codPostalDescricao,Original - morada,Original - nomeNucleo,Original - site
4000-391,Porto,0228,Senhora da Conceição,agrup228marques@gmail.com,41.16110140000001,-8.604927999999999,Porto,"Praça Marquês de Pombal, 111",Cid. Porto,
4435-145,Porto,0229,Rio Tinto,agrupamento229@gmail.com,41.1786056,-8.542635299999999,Rio Tinto,"Rua da Carreira, Centro Pastoral da Venda Nova, nº 111",Centro Norte,
1800-093,Lisboa,0230,Olivais Sul,agr230@gmail.com,38.763038,-9.119089599999999,Lisboa,Avenida Cidade Lourenço Marques - C Cívico Modulo 5,Oriental,http://agr230.cne-escutismo.pt/
6260-176,Guarda,0231,Santa Maria,geral.231@escutismo.pt,40.4093202,-7.489086100000001,Manteigas,Largo do Senhor do Calvário,,
6260-166,Guarda,0232,São Pedro - Manteigas,geral.232@escutismo.pt,40.3999239,-7.53985,Manteigas,Rua Padre António Tarrinha,,http://agr232.cne-escutismo.pt/
3860-000,Aveiro,0233,Estarreja,aofonseca@sapo.pt,40.7615564,-8.5619291,Estarreja,S. Tiago,,
3080-078,Coimbra,0235,Figueira da Foz,geral.235@escutismo.pt,40.1521398,-8.857583,Figueira da Foz,Largo Padre Arménio Marques,Beira-Mar,http://agr235.cne-escutismo.pt/
9020-057,Madeira,0238,São Roque,geral.238@escutismo.pt,32.6692297,-16.9228713,Funchal,"Caminho do Lombo Segundo, 34 A",,
2770-212,Lisboa,0242,Paço de Arcos,geral@agr242.cne-escutismo.pt,38.6960367,-9.29041,Paço de Arcos,"Escadinhas dos Escuteiros, 3",Barra,http://agr242.cne-escutismo.pt/
4795-826,Porto,0245,Vilarinho,agrupamento245@gmail.com,41.3675449,-8.340476,Vilarinho STS,"Travessa das Laginhas, 66",Norte,
2840-520,Setúbal,0253,Seixal,geral@agr253.cne-escutismo.pt,38.6436148,-9.1048548,Seixal,Rua Paiva Coelho 73A,,
2720-903,Lisboa,0255,Damaia,geral@agr255.cne-escutismo.pt,38.7471779,-9.219780199999999,Amadora,Centro Paroquial da Damaia,Serra da Lua,http://255-damaia.blogspot.com/
6290-051,Guarda,0256,Gouveia,geral.256@escutismo.pt,40.5391272,-7.6285832,Arcozelo,"Rua do Pinheiral, n.º 11, 1.º dto",,
4770-449,Braga,0257,Requião,julianaguedesribeiro@hotmail.com,41.410318,-8.479764399999999,Requião,"Alameda do Mosteiro, n. 190",Famalicão,
9675-137,Açores,0260,Ribeira Quente,cne_agr260@sapo.pt,37.732207,-25.306420,Ribeira Quente,"Rua da Alegria, 1",São Miguel,
4770-315,Braga,0261,Santa Maria de Landim,geral.261@escutismo.pt,41.3798848,-8.464451,Landim,"Alameda do Mosteiro, 64 B",Famalicão,http://agr261.cne-escutismo.pt
1070-124,Lisboa,0263,Campolide,geral.263@escutismo.pt,38.732576,-9.161254599999999,Lisboa,Igreja de Santo António de Campolide - Travessa Estêvão Pinto,Lisboa Ocidental,http://agr263.cne-escutismo.pt
4770-795,Braga,0268,Avidos,agrupamento268@gmail.com,41.3873614,-8.4877635,Avidos,"Largo Igreja, 50",Famalicão,http://agr268.cne-escutismo.pt/
2590-022,Lisboa,0272,Sobral Monte Agraço,geral.272@escutismo.pt,39.01690809999999,-9.1516141,Sobral Monte Agraço,"Rua Heróis da Bélgica, 6",Solarius,http://agr272.cne-escutismo.pt
2205-697,Portalegre-Castelo Branco,0273,Tramagal,geral.273@escutismo.pt,39.4574865,-8.2463821,Tramagal,"Rua Eduardo Duarte Ferreira, 345",,
4500-000,Porto,0274,Espinho,geral@agr274.cne-escutismo.pt,41.0031383,-8.639917199999999,Espinho,Rua 20,Douro Sul,http://agr274.cne-escutismo.pt
4455-827,Porto,0276,Santa Cruz do Bispo,geral.276@escutismo.pt,41.2172148,-8.674809099999999,Santa Cruz do Bispo,"Rua Gonçalves Zarco, 3481",Litoral,
4435-634,Porto,0277,Pedrouços,agrupamento277@gmail.com,41.1864099,-8.589915299999999,Pedrouços,"Largo Conde Ferreira, 39",Litoral,https://sites.google.com/site/agrupamento277/
4420-167,Porto,0278,Gondomar,geral.278@escutismo.pt,41.1514633,-8.5388649,Gondomar,Largo João Paulo II 95/99,Centro Norte,
4815-502,Braga,0279,São Miguel das Caldas de Vizela,geral@agr279.cne-escutismo.pt,41.3827541,-8.3069969,Caldas de Vizela,"Rua do Engeio, Nº 979",Guimarães,
3600-087,Lamego,0280,Castro Daire,geral@agr280.cne-escutismo.pt,40.8973248,-7.9347611,Castro Daire,"Rua Virtudes, nº 4",,
5050-220,Vila Real,0282,Godim,geral@agr282.cne-escutismo.pt,41.1677679,-7.7992601,PESO DA RÉGUA,"Bairro das Alagoas, Bloco 1, Cave 3",,http://www.agr282.cne-escutismo.pt
3800-001,Aveiro,0283,Vera Cruz,geral.283@escutismo.pt,40.6405055,-8.6537539,Aveiro,"Rua Guilherme Gomes Fernandes, Casa do Seixal",,
4770-037,Braga,0285,Antas São Tiago,agr285@gmail.com,41.4026721,-8.508132699999999,Vila Nova de Famalicão,Rua Frei Bartolomeu dos Mártires,Famalicão,
4820-005,Braga,0287,Santa Maria de Antime,alda-novais@iol.pt,41.4557445,-8.214265800000002,Antime,"Rua do Assento, s/n",Fafe,
8100-681,Algarve,0290,Loulé,geral.290@escutismo.pt,37.1402963,-8.0255724,Loulé,Largo de S. Francisco Nº 11,,http://agr290.cne-escutismo.pt/
4760-006,Braga,0291,Calendário,danielamaia41@gmail.com,41.4003017,-8.524201099999999,Calendário,"Rua S. Julião, nº 720",Famalicão,
5000-910,Vila Real,0295,Nossa Senhora da Conceição,geral.295@escutismo.pt,41.3059859,-7.7435374,VILA REAL,Largo Nossa Senhora da ConceiçãoIgreja Paroquial,,
1495-042,Lisboa,0297,Algés,geral.297@escutismo.pt,38.7055819,-9.2295364,Lisboa,"Pct. Combatentes da Grande Guerra, n.º 139-B",Barra,http://www.agr297.cne-escutismo.pt
4820-630,Braga,0298,Revelhe,novaispaulo@hotmail.com,41.4508217,-8.172861899999999,Fafe,Rua da Igreja nº141,Fafe,
3530-000,Viseu,0299,Mangualde,geral.299@escutismo.pt,40.6056777,-7.7649901,Mangualde,Rua do Colégio,,
4300-357,Porto,0300,Senhora do Calvário,geral.300@escutismo.pt,41.1621526,-8.571331599999999,Porto,Igreja Paroquial Senhora do Calvário - Rua Nª Senhora do Calvário,Cid. Porto,
4740-203,Braga,0301,Esposende,geral.301@escutismo.pt,41.5309169,-8.7805652,Esposende,Centro Paroquial Esposende - Largo da Matriz,Cego do Maio,https://www.facebook.com/CNE.Agrup.301/
4705-629,Braga,0304,Sequeira,cneescutismosequeira304@hotmail.com,41.5420326,-8.4554264,Braga,Salão Paroquial - Rua da Igreja,Braga,
3440-368,Viseu,0306,Santa Comba Dão,geral.306@escutismo.pt,40.39305909999999,-8.150243300000001,Santa Comba Dão,"Rua Escuteiros, nº4",,
4805-267,Braga,0307,Ponte,geral.307@escutismo.pt,41.4711313,-8.338229999999999,Ponte GMR,Largo da Igreja,Guimarães,
3030-908,Coimbra,0309,Ceira,geral.309@escutismo.pt,40.1680863,-8.3836008,Ceira,"Rua Senhor da Serra, nº 298",Mondego-Sul,http://agr309.cne-escutismo.pt
4775-403,Braga,0311,Lemenhe,dinisfaria@iol.pt,41.46202900000001,-8.5472517,Vila Nova de Famalicão,Igreja,Famalicão,
4760-556,Braga,0312,Louro,geral.312@escutismo.pt,41.4361306,-8.539136899999999,Louro,Rua D. Joaquina Nunes O. Miranda,Famalicão,
3885-321,Porto,0313,Cortegaça,geral@agr313.cne-escutismo.pt,40.9430368,-8.6270597,Cortegaça OVR,Centro Paroquial de Cortegaça,Terras de Santa Maria,http://agr313.cne-escutismo.pt
7860-132,Beja,0314,Moura,geral@agr314.cne-escutismo.pt,38.1406915,-7.4498183,Moura,Centro Paroquial de Moura,,
4805-511,Braga,0316,Sande,geral.316@escutismo.pt,41.4956623,-8.3623596,São Martinho de Sande,"Rua Padre António Francisco Ribeiro, 59",Guimarães,www.agr316.cne-escutismo.pt
2615-067,Lisboa,0317,Alverca,agrup317alverca@gmail.com,38.9022048,-9.0397427,Alverca Ribatejo,Rua da Cumeira - Apartado 186,Solarius,
3810-218,Aveiro,0319,Santa Joana,jose_m_antunes@hotmail.com,40.63599110000001,-8.6194887,Aveiro,Praça Baden Powell,,
7000-766,Évora,0320,Évora,geral@agr320.cne-escutismo.pt,38.5717954,-7.916145799999999,Évora,Externato Oratório São José - Avenida São João Bosco,,http://www.agr320.cne-escutismo.pt
4405-877,Porto,0321,Vilar do Paraíso,cris.c.scout@gmail.com,41.0993269,-8.619838699999999,Vila Nova de Gaia,"Rua Major Teixeira Pinto, 423",Douro Sul,http://www.agr321.cne-escutismo.pt/
4810-000,Braga,0322,Urgeses,geral.322@escutismo.pt,41.435726,-8.2041743,Guimarães,Avenida da Igreja ( igreja Paroquial),Guimarães,
4800-611,Braga,0323,Prazins (Santa Eufémia),chefe.agr323@gmail.com,41.490115,41.490115,Prazins Sta Eufémia GMR,"Rua Padre João Moreira Leite, 3393",Guimarães,
2970-719,Setúbal,0325,Sesimbra,geral.325@escutismo.pt,38.44421699999999,-9.1014903,Sesimbra,Largo 2 de Abril Bloco da Mata,,
6060-119,Portalegre-Castelo Branco,0326,Idanha-a-Nova,geral.326@escutismo.pt,40.0258396,-7.2412306,Idanha-a-Nova,Largo do Adro,,
4510-670,Porto,0328,Fânzeres,geral.328@escutismo.pt,41.165808,-8.526837499999999,Fânzeres,"Rua São Tiago, 233",Centro Norte,
5150-540,Lamego,0329,Vila Nova de Foz Côa,geral.329@escutismo.pt,41.0834429,-7.139810199999999,Vila Nova de Foz Côa,"Avenida Dr. Artur Aguilar, 18",,http://cne329.no.sapo.pt/
4760-480,Braga,0330,S. Pedro de Esmeriz,geral@agr330.cne-escutismo.pt,41.4279798,-8.516095200000001,Vila Nova de Famalicão,"Largo do Cruzeiro, Nº 140",Famalicão,http://www.agr330.cne-escutismo.pt
4810-430,Braga,0331,São Dâmaso,geral.331@escutismo.pt,41.4282922,-8.2644369,Guimarães,Igreja de São Dâmaso - Campo São Mamede,Guimarães,
4750-798,Braga,0332,Vila Cova,geral@agr332.cne-escutismo.pt,41.5467031,-8.7110973,Vila Cova BCL,Sede dos Escuteiros - Alameda do Passal,Barcelos,
2500-000,Lisboa,0337,Caldas da Rainha,geral.337@escutismo.pt,39.4056881,-9.143549399999999,Caldas da Rainha,Águas Santas,Oeste,www.agr337.cne-escutismo.pt
0000-000,Macau,0341,Macau,cne341@gmail.com,22.198745,113.543873,Macau,"Rua de Fernão Mendes Pinto, Nº 92, Edf. Nam Long, R/C esq.",,
2625-665,Lisboa,0342,Vialonga,geral@agr342.cne-escutismo.pt,38.8749296,-9.078810799999999,Vialonga,"Calçada Fonte do Val, 15",Solarius,
4900-294,Viana Castelo,0343,Senhor do Socorro,geral.343@escutismo.pt,41.6990327,-8.8450197,Areosa,"Avenida 2 de Fevereiro, nº 76",,
9760-311,Açores,0344,Lajes,agrup344lajes@hotmail.com,38.7648889,-27.1071443,Lajes - Praia Vitoria,"Rua dos Escuteiros, 26",Terceira,
4730-100,Braga,0346,Cervães,geral@agr346.cne-escutismo.pt,41.5965911,-8.534330499999999,Cervães,Rua Visage de Cima 7,Vila Verde,http://agr346.cne-escutismo.pt
3030-319,Coimbra,0347,São Jorge,geral.347@escutismo.pt,40.202399,-8.4094745,Coimbra,"Rua Júlio Dinis, S/N",Centro-Norte,
4900-763,Viana Castelo,0348,Meadela,geral.348@escutismo.pt,41.7081845,-8.808646599999999,Viana do Castelo,"Rua Padre Alfredo Guerreiro,131",,http://www.agr348.cne-escutismo.pt
4770-360,Braga,0349,Mouquim,agrupamento349mouquim@gmail.com,41.4073627,-8.499972999999999,Vila Nova de Famalicão,Rua de S. Tiago,Famalicão,
2970-835,Setúbal,0350,Santana,geral@agr350.cne-escutismo.pt,38.44421699999999,-9.1014903,Sesimbra,Salão Paroquial da Igreja da Corredoura,,http://agr350.cne-escutismo.pt/
7960-215,Beja,0353,Vidigueira,geral@agr353.cne-escutismo.pt,38.211531,-7.800598099999999,Vidigueira,"Largo 5 de Outubro, 19",,
4750-803,Braga,0354,Vila Frescainha,geral.354@escutismo.pt,41.5323387,-8.6354752,Barcelos,"Rua da Igreja, nº 310 Vila Frescainha S.Martinho",Barcelos,
3000-042,Coimbra,0355,Montes Claros,geral.355@escutismo.pt,40.2118519,-8.4180797,Coimbra,Agrupamento de Escuteiros 355 - Nª Sª de Lurdes,Centro-Norte,http://agr355.cne-escutismo.pt
4760-209,Braga,0357,Gavião,clara.carvalhal@hotmail.com,41.3803338,-8.516176699999999,Vila Nova de Famalicão,"Largo da Igreja, 56",Famalicão,
3000-213,Coimbra,0358,Sé Nova,geral.358@escutismo.pt,40.2425401,-8.446400799999999,Coimbra,Igreja da Sé Nova,Centro-Norte,http://agr358.cne-escutismo.pt
3020-154,Coimbra,0363,Coselhas,geral.363@escutismo.pt,40.2225865,-8.4294283,Coimbra,Salão Paroquial de Coselhas,Centro-Norte,http://agr363.cne-escutismo.pt
4770-571,Braga,0364,Vale São Cosme,geral.364@escutismo.pt,41.4499909,-8.449662399999999,Vale S. Cosme,"Travessa do Calvário, nº 60",Famalicão,
4805-216,Braga,0365,Corvite,geral@agr365.cne-escutismo.pt,41.4740846,-8.3187596,Corvite GMR,"Rua Padre António Matos, 170",Guimarães,
4805-035,Braga,0366,Brito,geral@agr366.cne-escutismo.pt,41.4545777,-8.3661683,BRITO,"Avenida da Igreja, nº. 45",Guimarães,http://cne366brito.blogspot.pt/
4990-514,Viana Castelo,0367,Anais,geral@agr367.cne-escutismo.pt,41.69481040000001,-8.5254221,Anais Ponte Lima,Rua do Outrelo Nº 237,,
4575-355,Porto,0369,São Vicente de Pinheiro,geral.369@escutismo.pt,41.1205875,-8.298509500000002,Pinheiro PNF,"Rua da Igreja, 21",Este,
2480-339,Leiria,0370,Porto de Mós,geral.370@escutismo.pt,39.6023992,-8.820238,Porto de Mós,Rua Mestre de Avis,,
-000,Setúbal,0371,Baixa da Banheira,geral@agr371.cne-escutismo.pt,38.6560267,-9.0444166,,Igreja Paroquial da Baixa da Banheira - Rua Padre Antonio Vieira,,
2825-865,Setúbal,0372,Trafaria,geral@agr372.cne-escutismo.pt,38.6716186,-9.232913999999999,Trafaria,Largo Manuel arriaga,,
4495-311,Braga,0373,Beiriz,geral.373@escutismo.pt,41.3972886,-8.722697800000001,Póvoa de Varzim,Residência Paroquial,Cego do Maio,
4905-205,Viana Castelo,0374,S. Miguel - Alvarães,geral@agr374.cne-escutismo.pt,41.6504096,-8.7395678,Alvarães (Viana do Castelo),"Rua da Igreja, 874",,
4715-000,Braga,0375,São Mamede Este,geral@agr375.cne-escutismo.pt,41.5718726,-8.347178099999999,Este São Mamede,Lugar da Igreja São Mamede,Braga,
4400-000,Porto,0376,Coimbrões,agrup376coimbroes@gmail.com,41.1216887,-8.630819599999999,Vila Nova de Gaia,Igreja Paroquial de Coimbrões,Douro Sul,
7830-000,Beja,0377,Serpa,geral@agr377.cne-escutismo.pt,37.94461769999999,-7.6002043,Serpa,Rua da Fonte Santa,,
2560-000,Lisboa,0379,A-dos-Cunhados,cne.379.adc@gmail.com,39.1448796,-9.311828199999999,A-dos-Cunhados,Salão Paroquial de A-dos-Cunhados,Oeste,
1500-048,Lisboa,0380,Calhariz de Benfica,geral.380@escutismo.pt,38.7464819,-9.188194899999999,Lisboa,Rua António Saúde (Junto ao Posto Limpeza CML),Lisboa Ocidental,
3060-000,Coimbra,0382,Cantanhede,geral@agr382.cne-escutismo.pt,40.3470015,-8.593346199999999,Cantanhede,Largo Pedro Teixeira - Casa dos Bogalhos,Beira-Mar,
8550-470,Algarve,0383,Monchique,geral@agr383.cne-escutismo.pt,37.3203483,-8.5556526,Monchique,Travessa da Portela Nº 3,,
4765-220,Braga,0385,Riba de Ave,j.salgado.scouts@gmail.com,41.3936608,-8.386523200000001,Riba de Ave,Rua Padre Narciso Melo,Famalicão,www.agr385.cne-escutismo.pt
4810-316,Braga,0386,Selho São Cristóvão,agru.386s.cristovao@sapo.pt,41.416214,-8.3492976,Selho S. Cristovão,"Rua Igreja, 388",Guimarães,http://agrup386scristovao.webs.com/
4780-663,Braga,0387,Palmeira,geral.387@escutismo.pt,41.3431376,-8.473807799999999,Santo Tirso,"Igreja Paroquial de Santa Eulália de Palmeira
Largo Comendador Albino Sousa Cruz",Famalicão,https://www.facebook.com/Agrupamento387Palmeira?fref=ts
4430-224,Porto,0390,Mafamude,zibalu@hotmail.com,41.1250015,-8.602233,Vila Nova de Gaia,Igreja de Mafamude - Rua Raimundo Carvalho,Douro Sul,http://agr390.cne-escutismo.pt/
4200-412,Porto,0391,Antas,cne.agrup.391antas@gmail.com,41.1645249,-8.590496,Porto,Rua de Naulila - Igreja de Santo António das Antas,Cid. Porto,http://sites.google.com/site/cneagrup391antas/Home
5430-474,Vila Real,0392,Valpaços,geral@agr392.cne-escutismo.pt,41.6080023,-7.3157368,Valpaços,Rua General Humberto Delgado,,
9580-409,Açores,0394,Aeroporto,rui.esteves@nav.pt,36.9568037,-25.1412316,Vila do Porto,Bairro São Pedro - Aeroporto Santa Maria,Santa Maria,http://agrupamento394cne.no.sapo.pt/
4980-825,Viana Castelo,0396,Vila Nova de Muía,geral@agr396.cne-escutismo.pt,41.8096051,-8.3915133,Vila Nova de Muía,Lugar de Padim,,
4795-160,Porto,0399,Rebordões,aguia399@hotmail.com,41.3476321,-8.4042732,Rebordões,Igreja,Norte,
4780-118,Porto,0400,Burgães,maa.moreira@hotmail.com,41.3515323,-8.466502699999999,Burgães - Santo Tirso,"Rua Padre Arnaldo, 828",Norte,
3860-133,Aveiro,0402,Santa Marinha de Avanca,cne402avanca@gmail.com,40.8041399,-8.5712013,AVANCA,Sede do Agrupamento 402 - Escuteiros de AvancaEdifício do Centro Paroquial e Social S.ta Marinha,,
2040-290,Santarém,0403,Rio Maior,geral@agr403.cne-escutismo.pt,39.3384417,-8.942707600000002,Rio Maior,Largo Bombeiros Voluntários (Antigo Quartel),,
2080-084,Santarém,0404,Almeirim,geral.404@escutismo.pt,39.2131535,-8.627129699999999,Almeirim,"Rua das Cancelas, 15 B",,http://www.agr404.cne-escutismo.pt/
4435-696,Porto,0405,Baguim do Monte,agrup405@gmail.com,41.18982279999999,-8.5361881,Baguim do Monte,Anexo Centro Paroquial de Baguim,Centro Norte,
4495-000,Braga,0406,Terroso,geral@agr406.cne-escutismo.pt,41.4139628,-8.727365500000001,Terroso - Póvoa de Varzim,Largo da Igreja - Terroso,Cego do Maio,
1070-086,Lisboa,0407,Oeiras,agr407oeiras@gmail.com,38.6959989,-9.311857699999999,Oeiras,"R. Francisco Manuel de Melo, 8",Barra,www.agr407-oeiras.blogspot.com
4400-000,Porto,0408,Santa Marinha,agrupamento408@gmail.com,41.1360825,-8.613875199999999,Vila Nova de Gaia,"Largo Joaquim Magalhães, Nº 27",Douro Sul,
4835-547,Braga,0409,Gondar,geral@agr409.cne-escutismo.pt,41.4207517,-8.368452899999999,Guimarães,Rua do Calvário - Residência Paroquial,Guimarães,
2610-019,Lisboa,0412,Alfragide,geral.412@escutismo.pt,38.7325153,-9.219849699999999,Amadora,"Rua Álvares Botelho, Sede dos Escuteiros (Traseiras Centro Paroquial)",Serra da Lua,cne412.blogspot.com
8401-906,Algarve,0413,Ferragudo,geral.413@escutismo.pt,37.1464812,-8.487572,Ferragudo,Largo da Igreja,,
2845-097,Setúbal,0414,Nossa Senhora do Monte Sião - Amora,geral@agr414.cne-escutismo.pt,38.6201484,-9.1345466,Amora,"Igreja Beato Scalabrini
Rua do Minho",,http://www.agr414.cne-escutismo.pt
2900-605,Setúbal,0415,Santa Maria da Graça,geral@agr415.cne-escutismo.pt,38.525402,-8.8895813,Setúbal,Largo Santo António,,http://www.agr415.cne-escutismo.pt
4734-909,Braga,0418,Vila Verde,agrupamento418@gmail.com,41.6431484,-8.435304,Vila Verde,Avenida António Sérgio,Vila Verde,http://agrup418.blogspot.pt
4730-091,Braga,0419,Cabanelas,geral@agr419.cne-escutismo.pt,41.581483,-8.4976865,Cabanelas VVD,"Largo de Santa Ana, nº 4",Vila Verde,http://www.agr419.cne-escutismo.pt/
9000-090,Madeira,0420,Nazaré,geral.420@escutismo.pt,32.6480275,-16.9417632,Funchal,"Avenida dos Estados Unidos da América, Conjunto Habitacional da Nazaré, Loja 146",,
4704-532,Braga,0421,Seminário São Tiago,zevale12@gmail.com,41.5483074,-8.4254048,Braga,Seminário Conciliar de S. Pedro e S.Paulo,Braga,
4750-053,Braga,0422,Alheira,geral@agr422.cne-escutismo.pt,41.5317419,-8.6178922,Barcelos,"Rua Nossa Senhora de Lurdes, nr 505",Barcelos,
0000-000,Viana Castelo,0423,São Romão de Neiva,geral.423@escutismo.pt,2.9344837,-75.2809001,São Romão de Neiva,Travessa de Santana,,agr423.cne-escutismo.pt
4710-199,Braga,0424,Nogueira,geral.424@escutismo.pt,41.5268266,-8.4151437,Braga,Rua da Igreja Nogueira,Braga,
4715-000,Braga,0426,Lamaçães,agrup426lamacaes@gmail.com,41.5268266,-8.4151437,Braga,Rua da Igreja,Braga,
4705-442,Braga,0427,Celeirós,josecunha138@gmail.com,41.5116357,-8.4535864,Celeiros BRG,"Avenida São Lourenço, 76 - 2º dto",Braga,
4705-488,Braga,0429,Morreira,geral.429@escutismo.pt,41.495222,-8.4071803,Morreira,Avenida S. Miguel,Braga,
4700-236,Braga,0430,S. Pedro Maximinos,geral@agr430.cne-escutismo.pt,41.5400066,-8.4380551,Maximinos - Braga,Patronato de Maximinos - Rua Padre Cruz,Braga,
4850-522,Braga,0431,Vieira do Minho,jm.varanda@gmail.com,41.6343218,-8.141619799999999,Vieira do Minho,Igreja Paroquial,Vieira do Minho,
9060-199,Madeira,0432,Sagrado Coração de Jesus,geral@agr432.cne-escutismo.pt,32.65648,-16.8884202,Funchal,"Rua das Murteiras, 30",,
9500-000,Açores,0433,Arrifes,cne_agr433@sapo.pt,37.761720,-25.697191,Ponta Delgada,Rua Cardeal Humberto Medeiros,São Miguel,
9880-381,Açores,0434,Santa Cruz da Graciosa,pauloteixeira1975@gmail.com,39.0862753,-28.0156811,Santa Cruz da Graciosa,"Rua Dr. Manuel Gregório Junior, 9",Graciosa,
4620-575,Porto,0435,Santa Eulália,cne-santaeulalia@sapo.pt,41.3538053,-8.302831300000001,Santa Eulália,Rua do Telhado,Norte,
9680-151,Açores,0436,Vila Franca do Campo,geral.436@escutismo.pt,37.714969,-25.436925,Vila Franca do Campo,"Rua Dr Armando Cortes Rodrigues, nº35",São Miguel,
4480-658,Braga,0439,São João Baptista - Vila do Conde,geral.439@escutismo.pt,41.3517302,-8.7478619,Vila do Conde,"Escola dos SininhosRua 5 de Outubro, 665-667",Cego do Maio,
4495-158,Braga,0440,São Tiago de Amorim,geral@agr440.cne-escutismo.pt,41.4060633,-8.7420876,Amorim,"Rua Padre Francisco Fernandes Silva, 47",Cego do Maio,http://www.agr440.cne-escutismo.pt
4770-865,Braga,0441,Castelões,geral.441@escutismo.pt,41.4102317,-8.429368799999999,Castelões,"Rua José Correia Machado, nº 205",Famalicão,http://www.cnecasteloes.no.sapo.pt/
4765-328,Braga,0442,Oliveira Santa Maria,agrupamento0442@hotmail.com,41.4066136,-8.4038334,Oliveira Santa Maria,Largo do Mosteiro - Residência Paroquial,Famalicão,http://www.agr442.cne-escutismo.pt
4770-491,Braga,0444,Ruivães,geral@agr444.cne-escutismo.pt,41.4522275,-8.4741032,Vila Nova de Famalicão,"Rua da Igreja, 51 B",Famalicão,
4770-076,Braga,0445,Cabeçudos,paulinha.cab@hotmail.com,41.3763272,-8.5044308,Cabeçudos,Alameda da Igreja,Famalicão,
4440-604,Porto,0446,Valongo,geral.446@escutismo.pt,41.1993429,-8.501372,Valongo,"Rua do Balselheiro, lote 6",Centro Norte,
4785-594,Porto,0447,Santiago de Bougado,geral.447@escutismo.pt,41.3395477,-8.5745507,Trofa,"Praça Padre Adélio Araújo, 120",Norte,
4604-909,Porto,0448,Amarante,geral.448@escutismo.pt,41.2722248,-8.0909186,Amarante,Centro Pastoral de Amarante,Este,
4150-387,Porto,0449,Santíssimo Sacramento,geral.449@escutismo.pt,41.1573939,-8.6366397,Porto,"Rua Guerra Junqueiro, 600",Cid. Porto,
4925-591,Viana Castelo,0450,Serreleis,geral@agr450.cne-escutismo.pt,41.7099737,-8.7532052,Serreleis,Avenida da Igreja,,www.agr450.cne-escutismo.pt
4935-348,Viana Castelo,0452,Vila Nova Anha,geral.452@escutismo.pt,41.6634293,-8.793796499999999,Vila Nova de Anha,Largo da Matriz,,
4930-677,Viana Castelo,0453,São Teotónio - Valença,geral.453@escutismo.pt,42.0318437,-8.642204999999999,Valença,Avª de Espanha,,
4810-456,Braga,0454,Longos Santa Cristina,agrup454longos@hotmail.com,41.5185731,-8.3634726,Longos GMR,Centro Paroquial,Guimarães,
4805-549,Braga,0455,Vermil,cne455vermil@gmail.com,41.448722,-8.390293999999999,Vermil,"Rua Padre José D'Abreu Carneiro, 100",Guimarães,
4835-406,Braga,0456,Silvares,geral@agr456.cne-escutismo.pt,41.49240100000001,-8.352285600000002,Guimarães,Rua Padre António Ribeiro,Guimarães,
4835-380,Braga,0457,Candoso,agrup457.candoso@gmail.com,41.4165269,-8.349869800000002,Candoso S. Martinho,Largo da Igreja,Guimarães,
4700-269,Braga,0458,São Francisco de Real,geral@agr458.cne-escutismo.pt,41.5583053,-8.448866299999999,Braga,"Rua Dr. Francisco F Duarte, 76",Braga,
4700-724,Braga,0459,Palmeira,geral@agr459.cne-escutismo.pt,41.5791148,-8.4513272,Braga,Rua Padre José Maria Vieira Costa,Braga,
4705-749,Braga,0460,Vimieiro,vimieiro460@hotmail.com,41.5454486,-8.426506999999999,Braga,Avenida Coronel Araujo Pinto - Salão Paroquial,Braga,http://agrup460.no.sapo.pt
2810-100,Setúbal,0461,Feijó,geral@agr461.cne-escutismo.pt,38.65488939999999,-9.160153899999999,Almada,Rua José E C Magalhães - Igreja Paroquial do Feijó,,http://www.cne-escutismo/agr461
4431-801,Porto,0462,Avintes,geral.462@escutismo.pt,41.1544517,-8.573570699999999,Avintes,Adro da Igreja,Douro Sul,http://www.agr462.cne-escutismo.pt/
4770-631,Braga,0463,Seide,cunhatomas@sapo.pt,41.3971237,-8.463429699999999,Seide S. Miguel,"Av. S. Miguel, 912",Famalicão,
4770-709,Braga,0464,Telhado,geral@agr464.cne-escutismo.pt,41.4683857,-8.478437399999999,Vila Nova de Famalicão,Igreja,Famalicão,http://www.agr464.cne-escutismo.pt
4430-144,Porto,0465,Santo Ovídio,geral@agr465.cne-escutismo.pt,41.1166939,-8.603259399999999,Vila Nova de Gaia,Praceta Baden Powell,Douro Sul,http://agr465.cne-escutismo.pt/
9700-232,Açores,0466,Posto Santo,tartarugapensadora@gmail.com,38.6635375,-27.2293969,Angra do Heroísmo,"Escola da Vinha Brava . Ladeira da Pateira, S/N",Terceira,
2820-307,Setúbal,0467,Charneca de Caparica,geral.467@escutismo.pt,38.6101943,-9.1839165,Charneca de Caparica,"Rua Quintinha da Foz, 40",,http://www.agr467.cne-escutismo.pt
4775-023,Braga,0468,Cambeses,geral@agr468.cne-escutismo.pt,41.48264229999999,-8.534457399999999,Cambeses BCL,"Rua da Igreja, 16",Barcelos,http://agr468.cne-escutismo.pt
3106-901,Coimbra,0471,Mata Mourisca,geral@agr471.cne-escutismo.pt,39.9485415,-8.788534,Guia,Igreja da Guia,Beira-Mar,http://agr471.cne-escutismo.pt
